Date,User,IsVerified,Tweet,Likes,RT,User_location
,🌹🌈🎁Ramesh Kumar🎁🌈🌹,False,"@msisodia @ArvindKejriwal @AamAadmiParty @TajinderBagga @KapilMishra_IND @sadashiva_ra 
@HarryDS46144044… https://t.co/H7B9kPqg22",1,0,Somewhere on d Earth 🌎
,🙏🇮🇳🚩Er. Pushpendra Poonia 🙏🇮🇳🚩,False,"@PoojaAS__Ind Dear Pooja ji request to you pls promote and support 👉 @Ps__Poonia 🙏🙏
Thanks 🙏🙏",1,0,"Alwar,Rajasthan, India"
,ermoxd,False,"@KohlifiedGal @india_fantasy @firebal_ind Nice so lets change how the icc rankings work, i think your way of judging is how it should be.",0,0,
,Godwin Enakhena,False,The true definition of a delicious African or continental cuisine is when the SWALLOW is from Spectra Industries Lt… https://t.co/nIVfbZHrJp,16,9,"Lagos, Nigeria"
,Jag,False,"It’s weird how similar Hayward &amp; PG’s careers have been:

• Drafted back-to-back in 2010
• Had virtually the same s… https://t.co/6wWTNMpHhL",0,0,
,Pooja Agrawal S. Singhal 🇮🇳,False,@Satakashii Thank you,1,0,"Rajasthan,Jodhpur, India"
,Pooja Agrawal S. Singhal 🇮🇳,False,Thank you https://t.co/lWYlN6yHEW,1,0,"Rajasthan,Jodhpur, India"
,Farzana 🇮🇳,False,"@KurkuriShah Ohhh god
I'll just throw up... I just had dinner",1,0,
,Hari Lfc,False,@ambtstirumurti @DrSJaishankar @MEAIndia @M_Lekhi @harshvshringla @RanjanRajkuma11 @IndEmbMoscow @PMOIndia @MOS_MEA… https://t.co/ZdoOZMMRcB,0,0,
,Nihar Ranjan,False,@sandorzedem @Ajayraj__420 @Fatimag866 Followed you @sandorzedem follow me back,0,0,"Ranchi, India"
,Taran_Adarsh Fan,False,"IND No1 Film Critic &amp; Trade Analyst 
@taran_adarsh Sir at Time Media &amp; Entertainments Press Conference  &amp; Lounch Mo… https://t.co/98HuZKqqSu",0,0,Aapno RAJASTHAN 
,LootDealskart,False,"Airish Fashion Polyester Lightweight 50 L Luggage Travel Duffel Bag with 2 Wheels (Red) 

https://t.co/baDPZt5ElB

 via @amazon",0,0,India
,Vikash,False,@Shehzad_Ind Correct but still the price is too high and because of that inflation is also increasing thereby creat… https://t.co/7WcGo1WbLi,0,0,"New Delhi, India"
,SHARP SHOOTER,False,@KapilMishra_IND @ibhagwa_n 🤣🤣🤣 now pak sc has scratched his ball..,0,0,Milkyway
,Saurabh Surana,False,"@ViCustomerCare Tapan Sharma (IND), Rod Tucker (AUS)

#ViFanOfTheMatch #IPL2022
#LSGvDC #ContestAlert",0,0,Bikaner @Rajasthan
,SpiffCheese,False,"@RadicalizedJ @SenatorAument @PATreasurer @ind_fisc_office Radicalized Centrist, what happened?
Why'd you quit and… https://t.co/X1zIxR6QW6",0,0,
